Name of NGO,Cause,Address
Aashwasan Foundation,Health & Family Welfare,"405, 3 A cross, HRBR Layout, 2nd Block"
Ashwini Charitable Trust,Labour & Employment,"No.3, St.John’s Road Cross (near Ulsoor Lake) Ulsoor"
"Best Practices Education, Training & Research Foundation",Women's Development & Empowerment,No.1 Palmgrove Road Victoria Layout
Brahmi Educational and Cultural Trust,Education,"Desapandeguttahalli, Tattanur Village Kalkunte Post, Via- Kadugodi"
Development Focus,Education,"917, 9th B Main 3rd C Cross, Kalyan Nagar"
Dharithree Trust,Children,"Dharithree Trust No.46, 1st Main, Gayathridevi Park, Near TTD Temple, Vyalikaval"
Divya Deepa Charitable Trust,Education,"Kenchalagudu village, Manandavadi Road Rayanakere post, Jayapura hobli"
Divya Jyothi Charitable Trust,Labour & Employment,"Door No:151/f Premises Of Bapuji Childrens Home, 4th Cross,Gokulam 3rd Stage"
Dream a Dream,Children,"#398/E, 17th Cross, 9th Main, 3rd Block, Jayanagar"
Evidyaloka Trust,Education,"#122, 4th Cross Rd, KAS Officers Colony, BTM Layout, 2nd Stage 35th Main"
Give Foundation,Labour & Employment,"First Floor, C3, 5th Block, MCHS Layout, Sector 6, HSR Layout"
GoSports Foundation,Education,"No. 60, Oorve, Muni Marappa Road, Off Nandi Durga Road"
Guardians of Dreams,Children,"No. 8, New Friend's Colony, 11th Main, 8th Cross, ST Bed Layout Koramangala"
Inchara Foundation,Children,"15/16/871, 2nd Cross, Kadri Shivabhag"
Indian Society for Performers & Teachers of Dance,Children,"C/O Energy Fitness, Ursu Bhavan Jasma Bhavan Road, Vasanthanagar,"
Kalkeri Sangeet Vidyalaya,Education,Dharwad District
Mantra Social Services,Education,"229, 39 C Cross, 9th Main Road Jayanagar 5th block"
Margadarshi - The Association for Physically Challenged,Education,"75/6., Hulkul Complex Lalbagh Road"
Mobility India,Children,"MOBILITY INDIA, 1st & 1st â€˜Aâ€™ Cross, J.P.Nagar 2nd Phase, 560078"
Need Base India,Education,"No. 41, 3rd Cross, Opposite to Govt. School, Behind Surbhi Stores, Jalahalli Village,"
Rehabilitative Assistance for People In Distress,Women's Development & Empowerment,"Govind Niwas, Opp Karnataka Bank Station Road, Malamaddi"
Sambhav Foundation,Education,"#12, 1st Main, 3rd stage, Vinayaka Layout, Vijayanagar"
Samveda Training and Research Centre,Education,"610, 7th Main 7th Cross, P.J Extension"
Shanti Bhavan Educational Trust,Education,"#502, 5 C Main, 5th Cross, 2nd Block HRBR Layout, Kalyananagar"
Society for Assistance to Children in Difficult Situation,Education,"36, Ratna Forever Buidling, 4th Floor, 1st Cross, Model Colony, Above New Bescom Office, Yeshwanthpur,Bengaluru"
Sri Keshava Trust ( Vittala International Institute of Ophthalmology),Health & Family Welfare,"504, 40th cross Jayanagar 8th Block"
Swami Vivekananda Youth Movement,Education,"CA 2, KIADB, Industrial Housing Area Hebbal Ring Road"
Swasti,Health & Family Welfare,"H. No. 41, 1st Main, 1st Cross, Ashwathnagar, Behind Govt. High School"
The Association of People with Disability,Rural Development & Poverty Alleviation,"6th Cross, Hutchins Road, Off Hennur Main Road Lingarajpuram, St Thomas Town Post"
The Baale Mane Trust,Education,"No 121, Gopalapura Railway Gollahalli Post"
The Nudge Foundation,Labour & Employment,"C9, 1st C Main Road, MCHS Colony Sector 6, HSR Layout"
Tropical Research And Development Centre,Children,"67, Ground Floor, Ist Main, 3rd Cross,14th Block, Nagarbhavi II stage,Bengaluru-560072"
Vaani,Education,"No. 801, 2A Cross, 8th Main HRBR 1st Block, Kalyan Nagar"
Vidyaranya,Education,"Mandur (Via) Virgonagar,Bengaluru East Taluk"
Vishwas Trust,Education,"G-9, Ramanshree Chambers 
37 Lady Curzon Road,"
Yuva Bengaluru,Education,"Yuva Global Foundation, No. 84, 1st Floor, 6th Cross, Coconut Avenue Road, Malleswaram,Bengaluru -560003"
Aasara Social Welfare And Education Society,Health & Family Welfare,"Plot no. 28 , Behind Parsi Cemetry , Sadashiv Nagar , Belgaum"
Aasare Angavikalara Kshemabhivruddhi And Grameenabhivruddhi Samsthe Gadag,Children,"Administration Office:, Aasare Skill Development Center, J.M.Kappattanavara Building, Near Rani Channamma School, Bellatti Road, Shirahatti Taluka, Ga"
Aasare Bal Bhavan,Children,"AASARE BAL BHAVAN, (CHILD CARE CENTRE), SIRA TOWN, TUMKUR DIST. KARNATAKA, Phone:+91 9448157427 / +91 9342055342, Email: aasarebalbhavan @ yahoo. in"
Aasare Organisation For Rehabilitation Of Child Labour And Street Children,Children,"M.SUDHAKAR RAO, Director, AASARE (RCL&SC), SIRA TOWN, TUMKUR DIST. KARNATAKA, Phone: +91 9448157427 /+91 9342055342, Email: aasare@yahoo.in"
Aasare Social Service Society,Drinking Water,"Janatha Typing Institute Building, Opp. Church, B.H Road, Shimoga"
Aashna Foundation,Health & Family Welfare,"AASHNA FOUNDATION, 134 BHANDIWAD BASE, PHATTER PHOD STREET"
Aashrita Charitable Trust,Rural Development & Poverty Alleviation,"Aashrita Charitable Trust , No 2618 9 th Cross 14 th Main , E Block Sahakaranagara,Bengaluru -560092"
Abalashram,Women's Development & Empowerment,"Abalashram, 125-6 Dr D V G Road, Basavanagudi,Bengaluru 560 004"
Abhaya Institute For Agriculture And Rural Development,Health & Family Welfare,"Abhaya Institute For Agriculture And Rural Development.(R).Korlikoppa,barur (post),sagar(taluk),shivamogga(dist),karnataka(state)-pin-577401"
Abhinaya Ranga Kendra,Health & Family Welfare,"ABHINAYA RANGA KENDRA KARANATKA , No:519, 12th A cross, vignshwaranagar, Vishwaneedam Post, Sunkadakatte,Bengaluru-560 091. Karnataka."
