Name of NGO,Cause,Address,Link
Aashwasan Foundation,Health & Family Welfare,"405, 3 A cross, HRBR Layout, 2nd Block",https://aashwasan.com/
Ashwini Charitable Trust,Labour & Employment,"No.3, St.John’s Road Cross (near Ulsoor Lake) Ulsoor",https://www.ashwinitrust.org/
"Best Practices Education, Training & Research Foundation",Women's Development & Empowerment,No.1 Palmgrove Road Victoria Layout,https://europa.eu/european-union/topics/education-training-youth_en
Brahmi Educational and Cultural Trust,Education,"Desapandeguttahalli, Tattanur Village Kalkunte Post, Via- Kadugodi",http://www.brahmi.org/
Development Focus,Education,"917, 9th B Main 3rd C Cross, Kalyan Nagar",https://workwithfocus.com/
Dharithree Trust,Children,"Dharithree Trust No.46, 1st Main, Gayathridevi Park, Near TTD Temple, Vyalikaval",http://dharithree.org/
Dream a Dream,Children,"#398/E, 17th Cross, 9th Main, 3rd Block, Jayanagar",https://www.youtube.com/watch?v=Tj4QH0af5PY
Evidyaloka Trust,Education,"#122, 4th Cross Rd, KAS Officers Colony, BTM Layout, 2nd Stage 35th Main",https://www.evidyaloka.org/
Give Foundation,Labour & Employment,"First Floor, C3, 5th Block, MCHS Layout, Sector 6, HSR Layout",https://www.givevolunteers.org/foundation/
GoSports Foundation,Education,"No. 60, Oorve, Muni Marappa Road, Off Nandi Durga Road",https://www.gosportsfoundation.in/
Guardians of Dreams,Children,"No. 8, New Friend's Colony, 11th Main, 8th Cross, ST Bed Layout Koramangala",https://godreams.org/
Indian Society for Performers & Teachers of Dance,Children,"C/O Energy Fitness, Ursu Bhavan Jasma Bhavan Road, Vasanthanagar,",https://isptd.org/
Mantra Social Services,Education,"229, 39 C Cross, 9th Main Road Jayanagar 5th block",https://mantra4change.com/
Margadarshi - The Association for Physically Challenged,Education,"75/6., Hulkul Complex Lalbagh Road",https://give2asia.org/margadarshi/
Mobility India,Children,"MOBILITY INDIA, 1st & 1st â€˜Aâ€™ Cross, J.P.Nagar 2nd Phase, 560078",https://mobility-india.org/
Need Base India,Education,"No. 41, 3rd Cross, Opposite to Govt. School, Behind Surbhi Stores, Jalahalli Village,",http://needbaseindia.org/
Rehabilitative Assistance for People In Distress,Women's Development & Empowerment,"Govind Niwas, Opp Karnataka Bank Station Road, Malamaddi",https://www.youtube.com/watch?v=ZQpn9UrJ9RU
Sambhav Foundation,Education,"#12, 1st Main, 3rd stage, Vinayaka Layout, Vijayanagar",https://sambhavfoundation.org/
Shanti Bhavan Educational Trust,Education,"#502, 5 C Main, 5th Cross, 2nd Block HRBR Layout, Kalyananagar",https://www.shantibhavanchildren.org/
Society for Assistance to Children in Difficult Situation,Education,"36, Ratna Forever Buidling, 4th Floor, 1st Cross, Model Colony, Above New Bescom Office, Yeshwanthpur,Bengaluru",http://sathiindia.org/
Sri Keshava Trust ( Vittala International Institute of Ophthalmology),Health & Family Welfare,"504, 40th cross Jayanagar 8th Block",http://www.viio.org/
Swasti,Health & Family Welfare,"H. No. 41, 1st Main, 1st Cross, Ashwathnagar, Behind Govt. High School",https://swasti.org/
The Association of People with Disability,Rural Development & Poverty Alleviation,"6th Cross, Hutchins Road, Off Hennur Main Road Lingarajpuram, St Thomas Town Post",https://www.apd-india.org/
The Baale Mane Trust,Education,"No 121, Gopalapura Railway Gollahalli Post",https://www.baalemane.org/staff
